,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,incident_district,incident_division,precip,visibility,heatindex,season,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,school,college,crime
0,7.0,29,wednesday,0,morning,dhaka,dhaka,6.1,10,32,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
1,1.0,2,wednesday,0,night,dhaka,dhaka,0.0,10,22,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
2,1.0,4,tuesday,0,night,dhaka,dhaka,0.0,10,25,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
3,3.0,9,friday,1,night,dhaka,dhaka,0.0,10,30,hot,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
4,8.0,34,thursday,0,night,dhaka,dhaka,21.9,9,38,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
5,8.0,34,thursday,0,night,dhaka,dhaka,21.9,9,38,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
6,2.0,7,sunday,0,night,dhaka,dhaka,0.6,10,23,winter,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
7,1.0,1,saturday,1,evening,dhaka,dhaka,0.0,10,23,winter,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
8,,2,friday,1,evening,dhaka,dhaka,0.0,10,21,winter,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
9,2.0,7,sunday,0,night,dhaka,dhaka,0.6,10,23,winter,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
10,11.0,46,monday,0,morning,dhaka,dhaka,0.0,10,29,winter,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
11,11.0,45,sunday,0,morning,dhaka,DHAKA,0.0,10,30,winter,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
12,2.0,7,sunday,0,night,dhaka,dhaka,0.6,10,23,winter,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
13,2.0,7,saturday,1,morning,dhaka,dhaka,0.0,10,25,winter,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
14,,36,friday,1,night,dhaka,dhaka,7.8,9,37,rainy,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
15,6.0,23,monday,0,night,dhaka,dhaka,2.6,10,37,rainy,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
16,4.0,14,sunday,0,morning,dhaka,dhaka,0.0,10,38,hot,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
17,,7,sunday,0,night,dhaka,dhaka,0.6,10,23,winter,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
18,7.0,31,monday,0,evening,dhaka,dhaka,10.3,9,39,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
19,5.0,19,tuesday,0,night,dhaka,dhaka,2.3,10,38,hot,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
20,9.0,37,sunday,0,noon,dhaka,dhaka,7.0,9,39,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
21,8.0,31,thursday,0,night,dhaka,dhaka,2.1,10,35,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
22,1.0,3,thursday,0,night,dhaka,DHAKA,0.0,10,24,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
23,,31,monday,0,,,dhaka,10.3,9,39,rainy,4931802,3974237,8906039,125,8.42,7.01679869135922e-11,,4289,99,17,60,242,64,murder
24,7.0,29,saturday,1,night,dhaka,dhaka,1.1,10,38,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
25,4.0,16,sunday,0,afternoon,dhaka,dhaka,12.3,9,37,hot,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
26,3.0,12,monday,0,night,dhaka,dhaka,1.2,10,29,hot,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
27,11.0,44,saturday,1,night,dhaka,dhaka,28.0,8,26,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,-1,242,64,murder
28,1.0,4,monday,0,night,dhaka,dhaka,0.0,10,27,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
29,1.0,1,saturday,1,evening,dhaka,dhaka,0.0,10,23,winter,738764,647146,1385910,114,3.77,4948.0,68.0,1118,78,3,6,42,10,murder
30,1.0,4,tuesday,0,night,dhaka,dhaka,0.0,10,27,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
31,,26,wednesday,0,,,dhaka,0.0,10,39,rainy,4931802,3974237,8906039,125,8.42,30551.0,,4289,99,17,60,242,64,murder
32,3.0,9,sunday,0,night,dhaka,dhaka,0.0,10,31,hot,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
33,8.0,34,friday,1,night,dhaka,dhaka,7.9,10,38,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
34,10.0,40,sunday,0,night,dhaka,dhaka,4.4,10,35,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
35,5.0,21,monday,0,night,dhaka,dhaka,35.7,7,36,hot,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
36,11.0,46,tuesday,0,morning,dhaka,DHAKA,0.0,10,30,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
37,,24,saturday,1,noon,dhaka,dhaka,13.9,9,41,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
38,1.0,3,tuesday,0,night,dhaka,dhaka,0.0,10,25,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
39,8.0,34,thursday,0,night,dhaka,dhaka,27.2,8,38,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
40,3.0,10,tuesday,0,night,dhaka,dhaka,0.0,10,29,hot,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
41,2.0,5,thursday,0,night,dhaka,dhaka,0.0,10,24,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
42,2.0,5,thursday,0,night,dhaka,dhaka,0.0,10,24,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
43,3.0,11,friday,1,morning,dhaka,dhaka,0.0,10,32,hot,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
44,9.0,35,sunday,0,night,dhaka,dhaka,3.1,9,40,rainy,207078,205340,412418,101,4.29,1342.0,50.8,706,0,2,2,23,1,murder
45,6.0,25,friday,1,morning,dhaka,dhaka,0.8,10,38,rainy,207078,205340,412418,101,4.29,1342.0,50.8,706,0,2,2,23,1,murder
46,7.0,31,monday,0,night,dhaka,dhaka,3.8,10,37,rainy,207078,205340,412418,101,4.29,1342.0,50.8,706,0,2,2,23,1,murder
47,6.0,25,wednesday,0,morning,dhaka,dhaka,0.6,10,42,rainy,207078,205340,412418,101,4.29,1342.0,50.8,706,0,2,2,23,1,murder
48,6.0,25,wednesday,0,morning,dhaka,dhaka,0.6,10,42,rainy,207078,205340,412418,101,4.29,1342.0,50.8,706,0,2,2,23,1,murder
49,2.0,7,wednesday,0,night,dhaka,dhaka,0.0,10,25,winter,207078,205340,412418,101,4.29,1342.0,50.8,706,0,2,2,23,1,murder
50,,19,sunday,0,night,dhaka,dhaka,5.1,9,39,hot,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
51,1.0,4,friday,1,night,dhaka,dhaka,0.0,10,25,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
52,1.0,2,monday,0,night,dhaka,dhaka,0.0,10,26,winter,107041,119398,226439,90,4.56,1402.0,57.5,672,32,0,2,21,2,murder
53,2.0,8,wednesday,0,evening,dhaka,dhaka,3.4,10,28,winter,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
54,7.0,28,friday,1,night,dhaka,dhaka,1.7,10,35,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
55,6.0,23,saturday,1,morning,dhaka,dhaka,3.5,9,39,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
56,10.0,44,tuesday,0,night,dhaka,dhaka,0.0,10,29,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
57,9.0,36,monday,0,evening,dhaka,dhaka,13.9,9,38,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
58,4.0,14,wednesday,0,night,dhaka,dhaka,6.9,10,36,hot,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
59,10.0,40,sunday,0,night,dhaka,dhaka,0.1,10,33,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
60,8.0,32,sunday,0,night,dhaka,dhaka,0.4,10,40,rainy,4931802,3974237,8906039,125,8.42,30551.0,74.6,4289,99,17,60,242,64,murder
